id,rating,title,text,date,platform
417,5,"Review","super",2026-04-19,Android
418,5,"Review","Good",2026-04-19,Android
419,5,"Review","good",2026-04-19,Android
420,5,"Review","verry nice service...👍",2026-04-19,Android
421,5,"Review","Excellent",2026-04-19,Android
422,5,"Review","good 👍",2026-04-19,Android
423,5,"Review","exalent",2026-04-19,Android
424,5,"Review","great",2026-04-19,Android
425,5,"Review","super fantastic amazing very good",2026-04-19,Android
426,5,"Review","good",2026-04-19,Android
427,5,"Review","This app is so good but hidden charging and government charging so many so Very bad for any treaders",2026-04-19,Android
428,4,"Review","perfect for beginners",2026-04-19,Android
429,5,"Review","Good",2026-04-19,Android
